frame,class,confidence,center_x,center_y,left,top,width,height,frame_width,frame_height
0,  car,0.625,563.500,391.500,552,385,23,13,1280,720
1,  car,0.685,563.000,393.000,550,386,26,14,1280,720
2,  car,0.672,563.500,392.000,551,385,25,14,1280,720
3,  car,0.645,563.000,393.500,550,386,26,15,1280,720
4,  car,0.631,562.500,394.000,550,386,25,16,1280,720
5,  car,0.641,562.500,393.500,550,386,25,15,1280,720
6,  car,0.661,562.500,391.500,550,384,25,15,1280,720
7,  car,0.580,561.500,391.000,549,384,25,14,1280,720
8,  car,0.536,562.000,391.500,549,384,26,15,1280,720
9,  car,0.572,560.500,392.500,548,385,25,15,1280,720
10,  car,0.669,559.000,391.500,546,384,26,15,1280,720
11,  car,0.631,559.500,392.000,546,384,27,16,1280,720
12,  car,0.570,557.500,391.500,544,384,27,15,1280,720
13,  car,0.610,557.500,392.500,544,385,27,15,1280,720
14,  car,0.691,557.000,394.000,543,386,28,16,1280,720
15,  car,0.722,556.500,394.000,543,386,27,16,1280,720
16,  car,0.672,555.000,396.500,542,388,26,17,1280,720
17,  car,0.608,554.500,396.500,541,388,27,17,1280,720
18,  car,0.731,556.000,395.500,542,387,28,17,1280,720
19,  car,0.701,554.500,395.500,540,387,29,17,1280,720
20,  car,0.740,555.000,394.000,541,385,28,18,1280,720
21,  car,0.725,554.000,395.000,540,386,28,18,1280,720
22,  car,0.754,553.000,396.500,538,387,30,19,1280,720
23,  car,0.769,552.500,396.000,537,387,31,18,1280,720
24,  car,0.778,552.500,395.500,537,386,31,19,1280,720
25,  car,0.778,552.500,395.500,537,386,31,19,1280,720
26,  car,0.749,552.500,394.500,537,385,31,19,1280,720
27,  car,0.723,551.500,395.500,536,386,31,19,1280,720
28,  car,0.751,550.500,395.500,535,386,31,19,1280,720
29,  car,0.795,550.000,396.500,534,387,32,19,1280,720
30,  car,0.776,550.000,397.000,534,387,32,20,1280,720
31,  car,0.785,550.000,397.000,534,387,32,20,1280,720
32,  car,0.765,550.000,397.000,534,387,32,20,1280,720
33,  car,0.756,549.500,398.500,533,388,33,21,1280,720
34,  car,0.790,549.000,398.500,532,388,34,21,1280,720
35,  car,0.775,549.000,398.500,532,388,34,21,1280,720
36,  car,0.792,549.000,398.500,532,388,34,21,1280,720
37,  car,0.778,548.500,399.500,532,389,33,21,1280,720
38,  car,0.773,548.000,399.000,531,388,34,22,1280,720
39,  car,0.770,547.000,399.000,530,388,34,22,1280,720
40,  car,0.772,546.500,399.000,529,388,35,22,1280,720
40,  car,0.592,150.500,391.000,128,381,45,20,1280,720
41,  car,0.785,546.500,398.500,529,388,35,21,1280,720
41,  car,0.636,149.000,391.000,127,380,44,22,1280,720
42,  car,0.785,545.500,399.000,528,388,35,22,1280,720
42,  car,0.627,148.000,391.500,126,381,44,21,1280,720
43,  car,0.785,544.000,399.000,526,388,36,22,1280,720
43,  car,0.521,148.000,392.000,126,381,44,22,1280,720
44,  car,0.778,543.500,399.000,525,387,37,24,1280,720
44,  car,0.595,147.000,391.500,125,381,44,21,1280,720
45,  car,0.784,543.500,399.500,525,388,37,23,1280,720
45,  car,0.535,147.000,392.000,125,382,44,20,1280,720
46,  car,0.723,543.500,398.000,525,386,37,24,1280,720
