frame,class,confidence,center_x,center_y,left,top,width,height,frame_width,frame_height
0,  bicycle,0.765,197.000,380.000,164,353,66,54,1280,720
0,  pedestrian,0.554,156.500,317.500,144,295,25,45,1280,720
1,  bicycle,0.734,189.000,382.000,156,357,66,50,1280,720
1,  pedestrian,0.509,158.500,317.000,145,295,27,44,1280,720
2,  bicycle,0.798,181.000,385.000,149,362,64,46,1280,720
2,  car,0.560,890.500,329.500,876,324,29,11,1280,720
3,  bicycle,0.759,174.500,383.000,140,359,69,48,1280,720
4,  bicycle,0.740,166.500,377.000,134,347,65,60,1280,720
5,  bicycle,0.744,162.500,372.500,130,337,65,71,1280,720
6,  bicycle,0.749,154.000,383.000,121,359,66,48,1280,720
7,  bicycle,0.776,147.000,385.500,115,363,64,45,1280,720
8,  bicycle,0.777,140.000,384.500,107,362,66,45,1280,720
8,  pedestrian,0.517,177.000,311.000,163,286,28,50,1280,720
9,  bicycle,0.765,133.500,387.000,100,366,67,42,1280,720
10,  bicycle,0.677,125.500,379.000,94,348,63,62,1280,720
10,  pedestrian,0.636,182.500,310.000,169,284,27,52,1280,720
10,  pedestrian,0.521,268.000,308.500,246,287,44,43,1280,720
11,  bicycle,0.736,117.500,388.000,86,366,63,44,1280,720
12,  bicycle,0.693,111.500,382.500,79,354,65,57,1280,720
12,  pedestrian,0.502,269.500,309.000,252,290,35,38,1280,720
13,  bicycle,0.728,105.500,374.500,71,339,69,71,1280,720
13,  pedestrian,0.540,274.000,311.000,253,293,42,36,1280,720
14,  bicycle,0.758,97.000,378.500,65,346,64,65,1280,720
14,  pedestrian,0.567,191.000,309.500,176,284,30,51,1280,720
14,  bicycle,0.527,964.500,365.500,949,348,31,35,1280,720
15,  bicycle,0.756,90.000,384.000,57,356,66,56,1280,720
16,  bicycle,0.746,83.500,388.500,51,364,65,49,1280,720
17,  bicycle,0.739,77.000,390.000,44,365,66,50,1280,720
17,  bicycle,0.503,981.500,366.500,966,348,31,37,1280,720
18,  bicycle,0.746,70.500,390.000,39,365,63,50,1280,720
18,  bicycle,0.587,985.000,364.000,966,344,38,40,1280,720
18,  pedestrian,0.568,200.000,303.500,187,286,26,35,1280,720
19,  bicycle,0.692,64.000,391.500,33,368,62,47,1280,720
20,  bicycle,0.697,56.500,384.000,25,352,63,64,1280,720
21,  bicycle,0.642,49.500,388.500,19,361,61,55,1280,720
22,  bicycle,0.698,39.000,391.500,3,367,72,49,1280,720
23,  bicycle,0.690,34.500,377.500,1,339,67,77,1280,720
24,  bicycle,0.590,30.000,376.000,1,335,58,82,1280,720
25,  pedestrian,0.698,222.500,307.500,210,284,25,47,1280,720
25,  bicycle,0.578,24.500,382.500,0,348,49,69,1280,720
26,  pedestrian,0.682,226.500,307.500,213,283,27,49,1280,720
30,  pedestrian,0.674,240.500,306.000,226,283,29,46,1280,720
30,  pedestrian,0.537,326.000,306.000,302,284,48,44,1280,720
31,  pedestrian,0.655,241.500,306.500,226,281,31,51,1280,720
31,  pedestrian,0.598,332.500,305.500,314,285,37,41,1280,720
32,  pedestrian,0.585,247.500,307.500,233,283,29,49,1280,720
34,  pedestrian,0.649,256.000,308.500,242,284,28,49,1280,720
35,  pedestrian,0.692,258.500,307.500,244,283,29,49,1280,720
36,  pedestrian,0.758,263.000,309.500,248,284,30,51,1280,720
37,  pedestrian,0.612,266.500,306.500,253,283,27,47,1280,720
37,  pedestrian,0.535,351.000,306.500,324,284,54,45,1280,720
38,  pedestrian,0.730,270.500,307.500,256,281,29,53,1280,720
38,  pedestrian,0.509,357.000,306.500,335,284,44,45,1280,720
39,  pedestrian,0.678,274.000,303.000,260,281,28,44,1280,720
39,  pedestrian,0.525,359.000,306.500,334,284,50,45,1280,720
40,  pedestrian,0.666,279.000,306.500,265,282,28,49,1280,720
41,  pedestrian,0.686,282.500,306.500,267,281,31,51,1280,720
42,  pedestrian,0.767,287.500,305.000,272,278,31,54,1280,720
43,  pedestrian,0.738,291.500,303.500,274,276,35,55,1280,720
44,  pedestrian,0.773,297.000,304.500,281,278,32,53,1280,720
45,  pedestrian,0.726,300.500,303.000,284,277,33,52,1280,720
46,  pedestrian,0.677,303.500,302.500,287,276,33,53,1280,720
47,  pedestrian,0.713,311.500,303.500,296,276,31,55,1280,720
47,  pedestrian,0.638,403.000,302.500,388,280,30,45,1280,720
48,  pedestrian,0.688,315.500,301.500,300,274,31,55,1280,720
49,  pedestrian,0.706,321.500,301.500,304,273,35,57,1280,720
49,  pedestrian,0.531,390.000,306.500,375,288,30,37,1280,720
50,  pedestrian,0.740,327.500,303.000,312,275,31,56,1280,720
50,  pedestrian,0.514,419.500,304.500,406,283,27,43,1280,720
51,  pedestrian,0.673,331.500,301.000,316,273,31,56,1280,720
52,  pedestrian,0.702,336.000,301.500,318,273,36,57,1280,720
53,  pedestrian,0.730,343.000,304.500,328,277,30,55,1280,720
53,  pedestrian,0.567,434.500,304.000,421,281,27,46,1280,720
54,  pedestrian,0.712,348.500,303.000,333,275,31,56,1280,720
54,  pedestrian,0.541,437.500,305.000,423,282,29,46,1280,720
55,  pedestrian,0.715,354.000,304.500,338,276,32,57,1280,720
56,  pedestrian,0.758,360.500,305.500,345,278,31,55,1280,720
57,  pedestrian,0.662,366.000,305.500,352,277,28,57,1280,720
58,  pedestrian,0.676,369.500,304.000,354,275,31,58,1280,720
58,  pedestrian,0.602,457.500,306.000,443,283,29,46,1280,720
59,  pedestrian,0.722,377.000,305.500,361,278,32,55,1280,720
59,  pedestrian,0.653,464.500,306.000,450,283,29,46,1280,720
60,  pedestrian,0.744,383.000,304.500,367,276,32,57,1280,720
61,  pedestrian,0.722,387.500,304.000,371,275,33,58,1280,720
62,  pedestrian,0.683,395.500,305.000,380,277,31,56,1280,720
63,  pedestrian,0.735,400.000,305.000,385,276,30,58,1280,720
