frame-number,detected-left,detected-right,left-status,right-status
0,1,1,safe,safe
1,1,1,safe,safe
2,1,1,safe,safe
3,1,1,safe,safe
4,1,1,safe,safe
5,1,1,safe,safe
6,1,1,safe,safe
7,1,1,safe,safe
8,1,1,safe,safe
9,1,1,safe,safe
10,1,1,safe,safe
11,1,1,safe,safe
12,1,1,safe,safe
13,1,1,safe,safe
14,1,1,safe,safe
15,1,1,safe,safe
16,1,1,safe,safe
17,1,1,safe,safe
18,1,1,safe,safe
19,1,1,safe,safe
20,1,1,safe,safe
21,1,1,safe,safe
22,1,1,safe,safe
23,1,1,safe,safe
24,1,1,safe,safe
25,1,1,safe,safe
26,1,1,safe,safe
27,1,1,safe,safe
28,1,1,safe,safe
29,1,1,safe,safe
30,1,1,safe,safe
31,1,1,safe,safe
32,1,1,safe,safe
33,1,1,safe,safe
34,1,1,safe,safe
35,1,1,safe,safe
36,1,1,safe,safe
37,1,1,safe,safe
38,1,1,safe,safe
39,1,1,safe,safe
40,1,1,safe,safe
41,1,1,safe,safe
42,1,1,safe,safe
43,1,1,safe,safe
44,1,1,safe,safe
45,1,1,safe,safe
46,1,1,safe,safe
47,1,1,safe,safe
48,1,1,safe,safe
49,1,1,safe,safe
50,1,1,safe,safe
51,1,1,safe,safe
52,1,1,safe,safe
53,1,1,safe,safe
54,1,1,safe,safe
55,1,1,safe,safe
56,1,1,safe,safe
57,1,1,safe,safe
58,1,1,safe,safe
59,1,1,safe,safe
60,1,1,safe,safe
61,1,1,safe,safe
62,1,1,safe,safe
63,1,1,safe,safe
64,1,1,safe,safe
65,1,1,safe,safe
66,1,1,safe,safe
67,1,1,safe,safe
68,1,1,safe,safe
69,1,1,safe,safe
70,1,1,safe,safe
71,1,1,safe,safe
72,1,1,safe,safe
73,1,1,safe,safe
74,1,1,safe,safe
75,1,1,safe,safe
76,1,1,safe,safe
77,1,1,safe,safe
78,1,1,safe,safe
79,1,1,safe,safe
80,1,1,safe,safe
81,1,1,safe,safe
82,1,1,safe,safe
83,1,1,safe,safe
84,1,1,safe,safe
85,1,1,safe,safe
86,1,1,safe,safe
87,1,1,safe,safe
88,1,1,safe,safe
89,1,1,safe,safe
90,1,1,safe,safe
91,1,1,safe,safe
92,1,1,safe,safe
93,1,1,safe,safe
94,1,1,safe,safe
95,1,1,safe,safe
96,1,1,safe,safe
97,1,1,safe,safe
98,1,1,safe,safe
99,1,1,safe,safe
100,1,1,safe,safe
101,1,1,safe,safe
102,1,1,safe,safe
103,1,1,safe,safe
104,1,1,safe,safe
105,1,1,safe,safe
106,1,1,safe,safe
107,1,1,safe,safe
108,1,1,safe,safe
109,1,1,safe,safe
110,1,1,safe,safe
111,1,1,safe,safe
112,1,1,safe,safe
113,1,1,safe,safe
114,1,1,safe,safe
115,1,1,safe,safe
116,1,1,safe,safe
117,1,1,safe,safe
118,1,1,safe,safe
