frame-number,predicted-left-lane,predicted-right-lane,predicted-left-status,predicted-right-status,actual-left-lane,actual-right-lane,actual-left-stat,actual-right-stat
1,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
2,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
3,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
4,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
5,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
6,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
7,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
8,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
9,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
10,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
11,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
12,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
13,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
14,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
15,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
16,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
17,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
18,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
19,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
20,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
21,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
22,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
23,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
24,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
25,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
26,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
27,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
28,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
29,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
30,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
31,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
32,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
33,TRUE,TRUE,safe,safe,TRUE,TRUE,safe,safe
